tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori,pm25
2010-01-01,DKI1 (Bunderan HI),60.0,4.0,73.0,27.0,14.0,73.0,CO,SEDANG,
2010-01-02,DKI1 (Bunderan HI),32.0,2.0,16.0,33.0,9.0,33.0,O3,BAIK,
2010-01-03,DKI1 (Bunderan HI),27.0,2.0,19.0,20.0,9.0,27.0,PM10,BAIK,
2010-01-04,DKI1 (Bunderan HI),22.0,2.0,16.0,15.0,6.0,22.0,PM10,BAIK,
2010-01-05,DKI1 (Bunderan HI),25.0,2.0,17.0,15.0,8.0,25.0,PM10,BAIK,
2010-01-06,DKI1 (Bunderan HI),30.0,3.0,22.0,19.0,11.0,30.0,PM10,BAIK,
2010-01-07,DKI1 (Bunderan HI),41.0,4.0,24.0,27.0,13.0,41.0,PM10,BAIK,
2010-01-08,DKI1 (Bunderan HI),64.0,8.0,51.0,19.0,15.0,64.0,PM10,SEDANG,
2010-01-09,DKI1 (Bunderan HI),55.0,5.0,39.0,23.0,16.0,55.0,PM10,SEDANG,
2010-01-10,DKI1 (Bunderan HI),34.0,5.0,23.0,26.0,12.0,34.0,PM10,BAIK,
2010-01-11,DKI1 (Bunderan HI),55.0,10.0,32.0,23.0,16.0,55.0,PM10,SEDANG,
2010-01-12,DKI1 (Bunderan HI),45.0,4.0,33.0,9.0,17.0,45.0,PM10,BAIK,
2010-01-13,DKI1 (Bunderan HI),28.0,5.0,29.0,10.0,12.0,29.0,CO,BAIK,
2010-01-14,DKI1 (Bunderan HI),38.0,6.0,28.0,15.0,10.0,38.0,PM10,BAIK,
2010-01-15,DKI1 (Bunderan HI),35.0,5.0,33.0,17.0,17.0,35.0,PM10,BAIK,
2010-01-16,DKI1 (Bunderan HI),54.0,5.0,38.0,17.0,18.0,54.0,PM10,SEDANG,
2010-01-17,DKI1 (Bunderan HI),44.0,4.0,28.0,22.0,14.0,44.0,PM10,BAIK,
2010-01-18,DKI1 (Bunderan HI),38.0,4.0,29.0,24.0,15.0,38.0,PM10,BAIK,
2010-01-19,DKI1 (Bunderan HI),40.0,3.0,43.0,23.0,23.0,43.0,CO,BAIK,
2010-01-20,DKI1 (Bunderan HI),61.0,5.0,63.0,16.0,17.0,63.0,CO,SEDANG,
2010-01-21,DKI1 (Bunderan HI),36.0,4.0,27.0,23.0,13.0,36.0,PM10,BAIK,
2010-01-22,DKI1 (Bunderan HI),51.0,4.0,45.0,14.0,13.0,51.0,PM10,SEDANG,
2010-01-23,DKI1 (Bunderan HI),35.0,3.0,30.0,20.0,14.0,35.0,PM10,BAIK,
2010-01-24,DKI1 (Bunderan HI),56.0,6.0,46.0,30.0,14.0,56.0,PM10,SEDANG,
2010-01-25,DKI1 (Bunderan HI),59.0,4.0,38.0,18.0,15.0,59.0,PM10,SEDANG,
2010-01-26,DKI1 (Bunderan HI),43.0,5.0,42.0,19.0,24.0,43.0,PM10,BAIK,
2010-01-27,DKI1 (Bunderan HI),54.0,8.0,38.0,40.0,16.0,54.0,PM10,SEDANG,
2010-01-28,DKI1 (Bunderan HI),72.0,8.0,55.0,20.0,17.0,72.0,PM10,SEDANG,
2010-01-29,DKI1 (Bunderan HI),51.0,8.0,24.0,19.0,11.0,51.0,PM10,SEDANG,
2010-01-30,DKI1 (Bunderan HI),47.0,8.0,32.0,19.0,12.0,47.0,PM10,BAIK,
2010-01-31,DKI1 (Bunderan HI),32.0,5.0,25.0,26.0,10.0,32.0,PM10,BAIK,
2010-02-01,DKI1 (Bunderan HI),41.0,7.0,30.0,17.0,13.0,41.0,PM10,BAIK,
2010-02-02,DKI1 (Bunderan HI),50.0,4.0,30.0,23.0,12.0,50.0,PM10,BAIK,
2010-02-03,DKI1 (Bunderan HI),49.0,7.0,33.0,57.0,23.0,57.0,O3,SEDANG,
2010-02-04,DKI1 (Bunderan HI),59.0,9.0,38.0,75.0,26.0,75.0,O3,SEDANG,
2010-02-05,DKI1 (Bunderan HI),63.0,7.0,39.0,41.0,23.0,63.0,PM10,SEDANG,
2010-02-06,DKI1 (Bunderan HI),65.0,8.0,59.0,24.0,15.0,65.0,PM10,SEDANG,
2010-02-07,DKI1 (Bunderan HI),60.0,10.0,45.0,47.0,17.0,60.0,PM10,SEDANG,
2010-02-08,DKI1 (Bunderan HI),46.0,5.0,31.0,42.0,17.0,46.0,PM10,BAIK,
2010-02-09,DKI1 (Bunderan HI),52.0,7.0,30.0,34.0,16.0,52.0,PM10,SEDANG,
2010-02-10,DKI1 (Bunderan HI),50.0,8.0,31.0,39.0,14.0,50.0,PM10,BAIK,
2010-02-11,DKI1 (Bunderan HI),47.0,5.0,27.0,26.0,14.0,47.0,PM10,BAIK,
2010-02-12,DKI1 (Bunderan HI),56.0,6.0,33.0,45.0,20.0,56.0,PM10,SEDANG,
